answerKey,id,A,B,C,D,stem,Grade,subject,category
C,MCAS_2005_9_17-v1,6 V,10 V,30 V,90 V,The diagram below shows a circuit. {img:images/States2017/Mass/Mass_9thGr_technology_2005_24.png} The current in this circuit is 3 A. The resistance of R1 is 2 ohms. R2 and R3 each have a resistance of 4 ohms. What is the voltage for this circuit?,9,technology,Train
A,MCAS_2005_9_20-v1,4 A,9 A,15 A,36 A,"The diagram below shows a circuit. {img:images/States2017/Mass/Mass_9thGr_technology_2005_25.png} If the resistance in this circuit is 3 ohms and the voltage is 12 V, what is the expected current in this circuit?",9,technology,Train
D,MCAS_2006_8_14,to indicate the tools needed,to warn of potential hazards,to increase the scale of the parts,to show how the parts go together,The diagram below illustrates a step in the assembly process for a swing set. {img:images/States2017/Mass/Mass_8thGr_2006_8.png} Which of the following is the best reason to use this type of drawing when assembling this swing set?,8,science,Train
A,MCAS_2006_8_15,{img:images/States2017/Mass/Mass_8thGr_2006_9.png},{img:images/States2017/Mass/Mass_8thGr_2006_10.png},{img:images/States2017/Mass/Mass_8thGr_2006_11.png},{img:images/States2017/Mass/Mass_8thGr_2006_12.png},"Which of the following diagrams best represents the relationship between galaxies, the universe, and solar systems?",8,science,Train
D,MCAS_2006_8_20,length of lifespan,number of offspring,presence of a nucleus,method of movement,"The illustration below shows three types of unicellular organisms commonly found in pond water. {img:images/States2017/Mass/Mass_8thGr_2006_15.png} Based on the illustration, which of the following can be used to separate these organisms into three different groups?",8,science,Train
D,MCAS_2006_8_23,{img:images/States2017/Mass/Mass_8thGr_2006_17.png},{img:images/States2017/Mass/Mass_8thGr_2006_18.png},{img:images/States2017/Mass/Mass_8thGr_2006_19.png},{img:images/States2017/Mass/Mass_8thGr_2006_20.png},Which of the following graphs best represents the relationship between density and depth of material below Earth's surface?,8,science,Train
A,MCAS_2006_8_26,The total mass of the system is constant.,Energy is converted to mass when the candle is burned.,Smoke particles have more mass than molecules of candle wax.,Kinetic energy is converted to potential energy when the candle is burned.,"The diagram below shows a balance being used to measure a burning candle in a sealed glass ball before and after the burning is complete. {img:images/States2017/Mass/Mass_8thGr_2006_21.png} As the candle burns, the size of the candle decreases, but the reading on the balance does not change. Which of the following is demonstrated by this experiment?",8,science,Train
C,MCAS_2006_8_27,Volcanoes form in the middle of a tectonic plate.,Volcanoes form below the surface of tectonic plates.,Volcanoes form where tectonic plates meet other plates.,Volcanoes form where earthquakes are least likely to occur.,"On the map below, dark circles indicate the positions of volcanoes in the ""Ring of Fire"" in and around the Pacific Ocean. Dark lines indicate tectonic plate boundaries of Earth's crust. {img:images/States2017/Mass/Mass_8thGr_2006_22.png} According to this map, which of the following describes where volcanoes are most likely to form in the Ring of Fire?",8,science,Train
D,MCAS_2006_8_36,to guide the drafting of the building's plans,to test the strength of the construction technique,to inventory the materials needed for construction,to show some of the characteristics of the finished structure,The illustration below shows an architect's model of an office building. {img:images/States2017/Mass/Mass_8thGr_2006_33.png} Which of the following is most likely the purpose of this model?,8,science,Train
A,MCAS_2006_8_8,What sex is the organism?,Is the organism endangered?,Where is the organism's ecosystem?,How does the organism obtain its food?,The diagram below shows the chromosomes from a cell after they were photographed under a microscope. {img:images/States2017/Mass/Mass_8thGr_2006_5.png} Which of the following questions may best be answered by studying an organism's chromosomes ?,8,science,Train
C,MCAS_2006_9_10-v1,Cooler temperatures denature the enzyme.,Cooler temperatures cause more enzyme production.,The enzyme is active in a specific temperature range.,Heat allows the enzyme to break down white pigment.,"The illustration below shows a Siamese cat. {img:images/States2017/Mass/Mass_9thGr_2006_7.png} In Siamese cats, an enzyme determines the color of the fur. On the cooler places of the body, the enzyme causes darker fur. On the warmer parts of the body, the enzyme does not function. Which of the following statements best explains how temperature affects this enzyme?",9,biology,Train
C,MCAS_2006_9_15-v1,{img:images/States2017/Mass/Mass_9thGr_2006_10.png},{img:images/States2017/Mass/Mass_9thGr_2006_11.png},{img:images/States2017/Mass/Mass_9thGr_2006_12.png},{img:images/States2017/Mass/Mass_9thGr_2006_13.png},Which of the organisms shown below is not correctly labeled with its kingdom?,9,biology,Train
C,MCAS_2006_9_18-v1,sound,transverse,longitudinal,electromagnetic,The figure below shows a spring with a wave traveling through it. {img:images/States2017/Mass/Mass_9thGr_physics_2006_14.png} Which type of wave is illustrated?,9,physics,Train
A,MCAS_2006_9_24,decomposers,primary consumers,producers,secondary consumers,A food web in a rain forest is shown below. {img:images/States2017/Mass/Mass_9thGr_2006_17.png} Which of the following most likely occupies the location marked X in this food web?,9,biology,Train
D,MCAS_2006_9_24-v1,The wagon has the same kinetic energy at point Y and at point X.,The wagon has more kinetic energy at point Y than at point X.,The wagon has the same gravitational potential energy at point Y and at point X.,The wagon has more gravitational potential energy at point Y than at point X.,The figure below shows a wagon that moves from point X to point Y. {img:images/States2017/Mass/Mass_9thGr_physics_2006_15.png} Which of the following best describes the wagon's change in energy as it coasts from point X to point Y?,9,physics,Train
B,MCAS_2006_9_27-v1,proteins,lipids,nucleic acids,carbohydrates,The diagram below represents a fat molecule. {img:images/States2017/Mass/Mass_9thGr_2006_19.png} A fat molecule belongs to which category of organic molecules?,9,biology,Train
A,MCAS_2006_9_29-v1,The Sun's mass is much greater than the comet's mass.,The comet is too far away for its gravity to affect the Sun.,In this gravitational interaction only the comet exerts a pull on the Sun.,The path of the comet reduces the Sun's gravity.,The Sun's gravitational attraction causes a comet's path to curve as shown in the illustration below. {img:images/States2017/Mass/Mass_9thGr_physics_2006_19.png} Which of the following statements best explains the fact that the Sun does not appear to move due to the comet's gravitational attraction?,9,physics,Train
B,MCAS_2006_9_2-v1,Microwaves are shorter than x-rays.,Infrared waves are longer than 15 gamma rays.,Radio waves are shorter than visible light waves.,Ultraviolet waves are longer than visible light waves.,The figure below shows the regions of the electromagnetic spectrum. {img:images/States2017/Mass/Mass_9thGr_physics_2006_2.png} Which of the following statements best compares the wavelengths of the regions 35 of the electromagnetic spectrum? 30,9,physics,Train
A,MCAS_2006_9_3,0 N,70 N,670 N,1270 N,The forces acting on a skateboarder moving at a constant velocity along a sidewalk are shown in the figure below. {img:images/States2017/Mass/Mass_9thGr_physics_2006_3.png} Which of the following is the net force on the skateboarder?,9,physics,Train
B,MCAS_2006_9_33-v1,Negative charges move from the sphere to the glass rod.,Negative charges move from the glass rod to the sphere.,Positive charges move from the sphere to the glass rod.,Positive charges move from the glass rod to the sphere.,The figure below shows a neutral glass rod and a positively charged metal sphere. {img:images/States2017/Mass/Mass_9thGr_physics_2006_21.png} Which of the following best describes the movement of charges as this glass rod touches the sphere?,9,physics,Train
B,MCAS_2006_9_41-v1,1.0 A,6.0 A,13.0 A,24.0 A,"The circuit diagram below shows three resistors, an ammeter, and a battery. {img:images/States2017/Mass/Mass_9thGr_physics_2006_25.png} How much current flows through the ammeter?",9,physics,Train
A,MCAS_2009_8_6,conduction within different soil types,condensation within different soil types,radiation emitted by different soil types,convection in the air above different soil types,The diagram below represents an experiment on different types of soil. {img:images/States2017/Mass/Mass_8thGr_2009_1.png} The thermometers are measuring the temperature of the center of the soil samples. Which of the following is a cause of the measured difference in the temperature of the two soils?,8,science,Train
A,MCAS_2016_8_16,{img:images/States2017/Mass/Mass_8thGr_2016_16.png},{img:images/States2017/Mass/Mass_8thGr_2016_17.png},{img:images/States2017/Mass/Mass_8thGr_2016_18.png},{img:images/States2017/Mass/Mass_8thGr_2016_19.png},Which of the following diagrams best represents a mixture?,8,science,Train
C,MCAS_2016_8_18,to reduce shear forces,to increase tension forces,to spread tension and compression forces over a wider area,to create torsion forces in the vertical and diagonal directions,The diagrams below show a section of a bridge before and after more beams were added. {img:images/States2017/Mass/Mass_8thGr_2016_20.png} What is the main reason more beams were added to the bridge?,8,science,Train
A,MCAS_2016_8_20,{img:images/States2017/Mass/Mass_8thGr_2016_22.png},{img:images/States2017/Mass/Mass_8thGr_2016_23.png},{img:images/States2017/Mass/Mass_8thGr_2016_24.png},{img:images/States2017/Mass/Mass_8thGr_2016_25.png},Students measured the water depth at several locations across the channel of a river. They plan to show the data they collected to their class. Which of the following is the most appropriate representation to show the river's depth across the channel?,8,science,Train
D,MEA_2010_8_3-v1,less than 400 nm,more than 700 nm,less than 400 nm and more than 700 nm,more than 400 nm and less than 700 nm,The table below shows the approximate wavelengths of violet and red colors. {img:images/States2017/ME/ME_8thGr_2010_2.png} What range of wavelengths is visible to human eyes?,8,science,Train
A,MEA_2010_8_5,Seattle is closer to an ocean.,Seattle is located at a higher latitude.,Seattle is located near an active volcano.,Seattle has longer summer days and shorter winter days.,"The map below shows the locations of Seattle, Washington and Kansas City, Missouri. {img:images/States2017/ME/ME_8thGr_2010_3.png} Which statement best explains why Seattle has warmer winters and cooler summers than Kansas City?",8,science,Train
B,MEA_2013_8_10,{img:images/States2017/ME/ME_8thGr_2013-2014_6.png},{img:images/States2017/ME/ME_8thGr_2013-2014_7.png},{img:images/States2017/ME/ME_8thGr_2013-2014_8.png},{img:images/States2017/ME/ME_8thGr_2013-2014_9.png},Which diagram best shows asexual reproduction?,8,science,Train
C,MEA_2013_8_13,Genetic changes lead to the extinction of many species.,All genetic information comes from one parent in asexual reproduction.,Variations in traits help offspring survive a changing environment.,New varieties of plants and animals are developed through genetic engineering.,The diagrams below depict an original population of peppered moths and the population many generations later. Lightly colored trees in this area were gradually replaced by darker-colored ones. {img:images/States2017/ME/ME_8thGr_2013-2014_11.png} Which concept is best shown by the diagrams?,8,science,Train
C,MEA_2013_8_6,herring,krill,algae,leopard seal,The diagram below shows a marine food web. {img:images/States2017/ME/ME_8thGr_2013-2014_3.png} Which organism captures energy for the food web?,8,science,Train
A,MEA_2013_8_9,Chemical energy is converted to 9 MJ of kinetic and electric energy and 26 MJ of wasted heat energy.,Heat energy is converted to 9 MJ of kinetic and chemical energy and 26 MJ of wasted electrical energy.,Chemical energy is converted to 9 MJ of potential and electric energy and 26 MJ of wasted heat energy.,Heat energy is converted to 9 MJ of potential and chemical energy and 26 MJ of wasted heat energy.,The diagram below shows the energy transformation of one liter of gasoline in a car. {img:images/States2017/ME/ME_8thGr_2013-2014_5.png} Which statement describes the energy transformation that one liter of gasoline undergoes?,8,science,Train
C,MEA_2014_8_11,The conclusion is correct because water was created in both demonstrations.,The conclusion is correct because condensation occurred in both demonstrations.,The conclusion is incorrect because the ethanol in Demonstration 2 underwent a chemical change.,The conclusion is incorrect because the atoms in the water in Demonstration 1 were rearranged to make a new substance.,The table below shows a page from a student's notebook that describes two different demonstrations. {img:images/States2017/ME/ME_8thGr_2014-2015_4.png} Which statement is the best analysis of the student's conclusion about the change in the material?,8,science,Train
D,MEA_2014_8_14,{img:images/States2017/ME/ME_8thGr_2014-2015_7.png},{img:images/States2017/ME/ME_8thGr_2014-2015_8.png},{img:images/States2017/ME/ME_8thGr_2014-2015_9.png},{img:images/States2017/ME/ME_8thGr_2014-2015_10.png},Which diagram best shows a container with gas molecules?,8,science,Train
C,MEA_2014_8_5,age,color,shape,size,Leaves from different species of trees are shown in the diagram below. {img:images/States2017/ME/ME_8thGr_2014-2015_2.png} Which characteristic of leaves can best be used to classify trees?,8,science,Train
A,MEA_2016_8_10,One atom of carbon combines with two atoms of oxygen to form one molecule of carbon dioxide.,One molecule of carbon combines with two molecules of oxygen to form one atom of carbon dioxide.,One element of carbon combines with two molecules of oxygen to form one element of carbon dioxide.,One element of carbon combines with two elements of oxygen to form one atom of carbon dioxide.,The diagram below shows the formation of carbon dioxide. {img:images/States2017/ME/ME_8thGr_2016_3.png} Which statement about this reaction is correct?,8,science,Train
C,MEA_2016_8_5,chloroplasts and vacuole,nucleus and cell membrane,eyespot and flagella,chloroplasts and cell membrane,The diagram below shows a euglena. {img:images/States2017/ME/ME_8thGr_2016_1.png} Which pair of cell parts found in a euglena make it different from plants?,8,science,Train
A,MSA_2012_8_10,the water cycle,mountain building,tectonic plate movement,convection currents in the ocean,"Red-Dead Canal The water in the Dead Sea is some of the saltiest water in the world. The only major river that flows into the Dead Sea is the Jordan River. Israel, Syria, and Jordan use much of the freshwater from the Jordan River for agricultural purposes. Because so little of the river water actually flows into the Dead Sea, the water level of the Dead Sea is decreasing. Much of the river water that enters the sea evaporates quickly because of the warm climate, leaving behind salts and minerals. The decreasing water level and the leftover salts and minerals have negatively affected the Dead Sea environment. A canal that would carry salt water from the Red Sea to the Dead Sea might restore increased water levels in the Dead Sea and benefit the surrounding environment. The altered ecology might also help to generate tourism revenue. Scientists worry, however, that a saltwater canal might leak and pollute underground sources of freshwater in the region. {img:images/States2017/MD/MD_8thGr_2012_3.png} The natural process that is most affected by the decreased water levels in the Dead Sea is",8,science,Train
B,MSA_2012_8_11,a decrease in Red Sea tourism,a decrease in freshwater sources,an increase in the human population in the area,an increase in the amount of crops that are harvested,"Red-Dead Canal The water in the Dead Sea is some of the saltiest water in the world. The only major river that flows into the Dead Sea is the Jordan River. Israel, Syria, and Jordan use much of the freshwater from the Jordan River for agricultural purposes. Because so little of the river water actually flows into the Dead Sea, the water level of the Dead Sea is decreasing. Much of the river water that enters the sea evaporates quickly because of the warm climate, leaving behind salts and minerals. The decreasing water level and the leftover salts and minerals have negatively affected the Dead Sea environment. A canal that would carry salt water from the Red Sea to the Dead Sea might restore increased water levels in the Dead Sea and benefit the surrounding environment. The altered ecology might also help to generate tourism revenue. Scientists worry, however, that a saltwater canal might leak and pollute underground sources of freshwater in the region. {img:images/States2017/MD/MD_8thGr_2012_3.png} Salt water leaking from the canal would most likely cause",8,science,Train
D,MSA_2012_8_17,1 battery and 2 coils of wire,1 battery and 20 coils of wire,2 batteries and 2 coils of wire,2 batteries and 20 coils of wire,"A teacher builds an electromagnet using a nail, a battery, and five coils of wire wrapped around the nail, as shown below. {img:images/States2017/MD/MD_8thGr_2012_7.png} Which change to the electromagnet would produce the strongest magnetic field?",8,science,Train
C,MSA_2012_8_42,react differently,are different colors,contain different atoms,melt at different temperatures,A group of students used lab equipment to investigate 25 milliliters each of three different liquids. The students then researched additional information about the three liquids. The results of the investigations and research are shown in the table below. {img:images/States2017/MD/MD_8thGr_2012_15.png} The masses for equal volumes of the three liquids are different because the liquids,8,science,Train
B,MSA_2012_8_43,The liquids change mass.,The liquids change state of matter.,The molecules in the liquids become larger.,The molecules in the liquids become lighter.,A group of students used lab equipment to investigate 25 milliliters each of three different liquids. The students then researched additional information about the three liquids. The results of the investigations and research are shown in the table below. {img:images/States2017/MD/MD_8thGr_2012_15.png} Which change occurs when heat energy is added to the liquids?,8,science,Train
D,MSA_2013_8_10,electrical to chemical to light,electrical to chemical to sound,mechanical to chemical to electrical,mechanical to electrical to chemical,"Micro-hydropower Micro-hydropower systems generate small amounts of electricity from moving water. These small systems are able to supply electricity to farms, ranches, and homes. Some of the moving water from a stream or river is redirected by an intake through a pipeline to a small turbine in a power station. The turbine turns coils of wires in a magnetic field to produce electricity. A simple diagram of a micro-hydropower system is shown below. {img:images/States2017/MD/MD_8thGr_2013_2.png} Which sequence represents the transformation of energy from moving water to a generator and then to a battery?",8,science,Train
C,MSA_2013_8_13,tick -> mouse -> red oak,grass -> deer -> blue jay,cranberry bush -> deer -> coyote,blue jay -> caterpillar -> cedar waxwing,Partial Forest Food Web The movement of energy and matter through some organisms in a forest ecosystem is shown in this food web. {img:images/States2017/MD/MD_8thGr_2013_6.png} Which food chain best shows the flow of matter in organisms in the food web?,8,science,Train
D,MSA_2013_8_14,the mouse and the deer,the tick and the caterpillar,the grass and the red oak,the blue jay and the cedar waxwing,Partial Forest Food Web The movement of energy and matter through some organisms in a forest ecosystem is shown in this food web. {img:images/States2017/MD/MD_8thGr_2013_6.png} Which two organisms in the food web share the most similarities in external structures?,8,science,Train
D,MSA_2013_8_24,sharp shells from zebra mussels littering the beaches,zebra mussels blocking power plant intake tubes,increased odor from decaying zebra mussels,decreased oxygen levels in the waterways,"Zebra Mussels Zebra mussels have been found in the Chesapeake Bay. These small, nonnative mussels sometimes cause economic, environmental, and ecological problems. They block the water intake pipes of industrial plants and limit the ability of the plants to generate power, provide drinking water, or treat sewage. The mussel populations grow rapidly and spread to other bodies of water by attaching to boats and equipment below the surface of the water. They consume large amounts of the algae in the water and may decrease the oxygen level of the water. Many beaches are also littered with the sharp shells of decaying zebra mussels. {img:images/States2017/MD/MD_8thGr_2013_11.png} Which outcome of the increase in the population of zebra mussels would most affect fishermen in Maryland?",8,science,Train
B,MSA_2013_8_25,air,habitat,sunlight,carbon dioxide,"Zebra Mussels Zebra mussels have been found in the Chesapeake Bay. These small, nonnative mussels sometimes cause economic, environmental, and ecological problems. They block the water intake pipes of industrial plants and limit the ability of the plants to generate power, provide drinking water, or treat sewage. The mussel populations grow rapidly and spread to other bodies of water by attaching to boats and equipment below the surface of the water. They consume large amounts of the algae in the water and may decrease the oxygen level of the water. Many beaches are also littered with the sharp shells of decaying zebra mussels. {img:images/States2017/MD/MD_8thGr_2013_11.png} Zebra mussels most likely compete with other organisms for",8,science,Train
C,MSA_2013_8_26,many beaches,few intake pipes,many algae plants,few boating activities,"Zebra Mussels Zebra mussels have been found in the Chesapeake Bay. These small, nonnative mussels sometimes cause economic, environmental, and ecological problems. They block the water intake pipes of industrial plants and limit the ability of the plants to generate power, provide drinking water, or treat sewage. The mussel populations grow rapidly and spread to other bodies of water by attaching to boats and equipment below the surface of the water. They consume large amounts of the algae in the water and may decrease the oxygen level of the water. Many beaches are also littered with the sharp shells of decaying zebra mussels. {img:images/States2017/MD/MD_8thGr_2013_11.png} An increase in a population of zebra mussels would best be supported by a body of water which has",8,science,Train
B,MSA_2013_8_27,{img:images/States2017/MD/MD_8thGr_2013_12.png},{img:images/States2017/MD/MD_8thGr_2013_13.png},{img:images/States2017/MD/MD_8thGr_2013_14.png},{img:images/States2017/MD/MD_8thGr_2013_15.png},"Waste Not: Energy from Garbage and Sewage A hundred years ago, gas was collected from rotting sewage and used to light street lamps. New technologies hope to update this concept-tapping garbage as well as human waste-for an energy-hungry world. One promising device is called a microbial fuel cell. It makes electricity much like a hydrogen fuel cell, but it runs off wastewater. Sewage-eating bacteria drive a chemical process that generates current and, as a bonus, helps purify the water. Bruce Logan of Pennsylvania State University and his colleagues have constructed small microbial fuel cells, no bigger than a can that can power various devices, including a small fan. ""If you had 100,000 people and you treat their sewage, you could get up to 2.3 megawatts of continuous power, which is enough to supply electricity for 1,500 homes,"" Logan said. A megawatt is one million watts. A self-sufficient water-treatment device is also something that NASA is interested in. Bruce Rittman of Northwestern University is currently devising a microbial fuel cell that could be used on manned space missions. ""You have to recycle everything up in space,"" Rittman said. ""You want to capture food waste and human waste, as well as recycle water."" A microbial fuel cell has some advantages over the more traditional method, called an anaerobic digester, which collects the methane, or ""biogas,"" that bacteria belch out when they consume organic material in the absence of oxygen. The methane is later burned to turn a turbine generator. ""Instead of going through the intermediate step of combustion, a cell makes the electricity directly,"" Rittman said. This direct route means that a microbial fuel cell could potentially extract more energy from a given amount of sewage. It also would avoid the pollution that burning methane produces. But both Rittman and Logan are quick to add that cells are still early in development, whereas digesters are in use, mostly in agriculture settings where the concentration of organic material is higher than from urban sewers. Which graph best displays the relationship between human population size and energy demand?",8,science,Train
A,MSA_2013_8_30,energy,friction,mass,particles,"Wave Motion in a Plastic Spring Two students investigated wave motion in a plastic spring. Each student held an end of the spring on a table 1.5 meters long. Student A compressed and released a portion of the spring. This action produced a wave that traveled through the spring across the table. Using a stopwatch, the students determined that the wave traveled through the spring in 0.5 seconds. {img:images/States2017/MD/MD_8thGr_2013_16.png} The wave motion produced by the spring transfers",8,science,Train
D,MSA_2013_8_41,Most of the nail dissolved and the color remained the same.,The nail remained a solid and the color remained the same.,Most of the nail dissolved and the color changed.,The nail remained a solid and the color changed.,A student conducted an investigation to determine which condition caused the greatest amount of rust to form on an iron nail. Iron Nail 1 was placed on a table. Iron Nail 2 was submerged in a beaker of water. Iron Nail 3 was partially submerged in another beaker of water. The setup for the investigation is illustrated below. {img:images/States2017/MD/MD_8thGr_2013_23.png} The student recorded observations about the nails on Day 1 and Day 8 in the table below. {img:images/States2017/MD/MD_8thGr_2013_24.png} Which statement best describes the physical properties of the nail after the rust developed?,8,science,Train
C,MSA_2013_8_42,The nail floated.,The nail dissolved.,The water solidified.,The water evaporated.,A student conducted an investigation to determine which condition caused the greatest amount of rust to form on an iron nail. Iron Nail 1 was placed on a table. Iron Nail 2 was submerged in a beaker of water. Iron Nail 3 was partially submerged in another beaker of water. The setup for the investigation is illustrated below. {img:images/States2017/MD/MD_8thGr_2013_23.png} The student recorded observations about the nails on Day 1 and Day 8 in the table below. {img:images/States2017/MD/MD_8thGr_2013_24.png} The beaker with Iron Nail 2 was placed in a freezer. Which result most likely occurred when the heat energy was removed from the water in the beaker?,8,science,Train
D,MSA_2013_8_43,The iron nail physically reacted with the air.,The iron nail physically reacted with the water.,The iron nail chemically reacted with carbon in the air.,The iron nail chemically reacted with oxygen in the water.,A student conducted an investigation to determine which condition caused the greatest amount of rust to form on an iron nail. Iron Nail 1 was placed on a table. Iron Nail 2 was submerged in a beaker of water. Iron Nail 3 was partially submerged in another beaker of water. The setup for the investigation is illustrated below. {img:images/States2017/MD/MD_8thGr_2013_23.png} The student recorded observations about the nails on Day 1 and Day 8 in the table below. {img:images/States2017/MD/MD_8thGr_2013_24.png} Which statement best explains why rust formed on two of the iron nails?,8,science,Train
D,MSA_2013_8_8,an electric field surrounded the wires,a magnetic field surrounded the house,an electrical current produced in the wires stopped,a magnetic field was produced by the electric current,"Micro-hydropower Micro-hydropower systems generate small amounts of electricity from moving water. These small systems are able to supply electricity to farms, ranches, and homes. Some of the moving water from a stream or river is redirected by an intake through a pipeline to a small turbine in a power station. The turbine turns coils of wires in a magnetic field to produce electricity. A simple diagram of a micro-hydropower system is shown below. {img:images/States2017/MD/MD_8thGr_2013_2.png} A student moved a compass near the wires of the power lines next to a house. The compass needle then changed direction. {img:images/States2017/MD/MD_8thGr_2013_3.png} The compass needle moved because",8,science,Train
A,MSA_2013_8_9,adding more coils of wire,removing the iron magnet,using water that moves slowly,using additional poles for power lines,"Micro-hydropower Micro-hydropower systems generate small amounts of electricity from moving water. These small systems are able to supply electricity to farms, ranches, and homes. Some of the moving water from a stream or river is redirected by an intake through a pipeline to a small turbine in a power station. The turbine turns coils of wires in a magnetic field to produce electricity. A simple diagram of a micro-hydropower system is shown below. {img:images/States2017/MD/MD_8thGr_2013_2.png} Which action would increase the amount of electricity produced by a generator?",8,science,Train
A,MSA_2015_8_10,conduction,convection,radiation,reflection,"The Mars Lander In 2004, two robots called rovers landed on the surface of Mars. Scientists using remote control units on Earth were able to start the robots exploring the surface of Mars. One rover, named Opportunity, was still moving across the Martian surface in 2011, which lasted more than seven years longer than expected. The rovers used solar-powered cells on solar arrays that were able to generate 140 units of power using the weak Martian sunlight which filters through the thin atmosphere. The power was stored in rechargeable batteries that could be used at night. {img:images/States2017/MD/MD_8thGr_2015_5.png} Heat energy is most likely transferred to Opportunity's internal instruments during the cold Martian nights by",8,science,Train
C,MSA_2015_8_11,conduction,convection,radiation,reflection,"The Mars Lander In 2004, two robots called rovers landed on the surface of Mars. Scientists using remote control units on Earth were able to start the robots exploring the surface of Mars. One rover, named Opportunity, was still moving across the Martian surface in 2011, which lasted more than seven years longer than expected. The rovers used solar-powered cells on solar arrays that were able to generate 140 units of power using the weak Martian sunlight which filters through the thin atmosphere. The power was stored in rechargeable batteries that could be used at night. {img:images/States2017/MD/MD_8thGr_2015_5.png} Opportunity generates power using cells in an array which converts solar energy to electrical energy. How is energy transferred from the sun to the rover?",8,science,Train
B,MSA_2015_8_12,accelerated,constant,periodic,variable,A student walked around the track at school and recorded the time every meter. The student constructed the graph below using the data. {img:images/States2017/MD/MD_8thGr_2015_6.png} Which type of motion is represented in the graph?,8,science,Train
B,MSA_2015_8_13,1,2,3,4,"Ocean Waves Ocean waves are generated by natural forces such as wind, earthquakes, and tides. A simple water wave is shown in the diagram below. {img:images/States2017/MD/MD_8thGr_2015_7.png} The number in the diagram that represents the wavelength is",8,science,Train
A,MSA_2015_8_14,energy,force,matter,speed,"Ocean Waves Ocean waves are generated by natural forces such as wind, earthquakes, and tides. A simple water wave is shown in the diagram below. {img:images/States2017/MD/MD_8thGr_2015_7.png} The arrow in the ocean wave diagram below represents the direction of the transfer of {img:images/States2017/MD/MD_8thGr_2015_8.png}",8,science,Train
D,MSA_2015_8_15,bay grasses and blue crab,algae and microscopic animals,bay anchovies and striped bass,common goldeneye duck and human,The Chesapeake Bay is the largest estuary ecosystem in the United States. Organisms living there have developed food webs in which they depend upon one another for energy. A partial Chesapeake Bay food web is shown below. {img:images/States2017/MD/MD_8thGr_2015_9.png} Which two organisms are most likely to compete for the same resources in this food web?,8,science,Train
C,MSA_2015_8_16,relocate to the shore,move closer to plants,decrease in population,increase rapidly in size,"The Chesapeake Bay is the largest estuary ecosystem in the United States. Organisms living there have developed food webs in which they depend upon one another for energy. A partial Chesapeake Bay food web is shown below. {img:images/States2017/MD/MD_8thGr_2015_9.png} The amount of dissolved oxygen in the water needed by several organisms found in the Chesapeake Bay is shown in the table below. {img:images/States2017/MD/MD_8thGr_2015_10.png} If the oxygen level in the water dropped below 3 milligrams per liter of water, blue crabs would most likely",8,science,Train
D,MSA_2015_8_17,circulatory,digestive,reproductive,respiratory,"The Chesapeake Bay is the largest estuary ecosystem in the United States. Organisms living there have developed food webs in which they depend upon one another for energy. A partial Chesapeake Bay food web is shown below. {img:images/States2017/MD/MD_8thGr_2015_9.png} The common goldeneye duck and striped bass share many similar structures. However, they belong to different animal groups. Which system is most different in these groups of animals?",8,science,Train
C,MSA_2015_8_19,128,64,32,16,"Chromosomes, thread-like structures located inside the nucleus of animal and plant cells, contain the genetic information for organisms. The number of chromosomes for some species is given in the table below. {img:images/States2017/MD/MD_8thGr_2015_12.png} How many chromosomes are transferred from each parent horse to a colt?",8,science,Train
D,MSA_2015_8_20,{img:images/States2017/MD/MD_8thGr_2015_14.png},{img:images/States2017/MD/MD_8thGr_2015_15.png},{img:images/States2017/MD/MD_8thGr_2015_16.png},{img:images/States2017/MD/MD_8thGr_2015_17.png},"Power of Urine Runs a Battery Scientists have developed a way to turn urine into electricity. Cheap, disposable, and renewable, urine-powered batteries may be the perfect power source for disposable health care test kits called biochips, the researchers say. ""We are striving to develop cheap, disposable credit card-sized biochips for disease detection,"" said battery developer Ki Bang Lee. ""Our battery can be easily integrated into such devices, supplying electricity upon contact with biofluids such as urine."" Scientists around the world are clamoring to design inexpensive biochips to quickly test for a variety of diseases. But no one has been able to make a similarly small and inexpensive power source. Lee and his team of researchers at Singapore's Institute of Bioengineering and Nanotechnology have tackled this problem by using the very substance being tested-urine-to power the test. To make the battery, Lee and his team soaked a piece of paper in copper chloride and then sandwiched it between strips of magnesium and copper. Then they laminated the credit card-sized unit between transparent plastic films. When a drop of urine is added to the copper chloride paper, a chemical reaction takes place and produces electricity, which is harnessed by the battery. A few drops will generate about 1.5 volts, the same as a AA battery. The battery needs to be developed further to make it commercially viable. ""Our urine-activated battery would be integrated into biochip systems for health care diagnostic applications,"" Lee said. Lee and his team also found that they could alter the battery's performance- voltage, power, or duration-by adjusting the design or materials. The chemical composition of urine indicates a person's general health and is widely used in diagnostic tests. For instance, doctors measure the concentration of the sugar glucose to determine whether someone is diabetic. Lee predicts that one day people will be able to monitor their own health at home using biochips powered by this type of battery. The diagram below represents water molecules. {img:images/States2017/MD/MD_8thGr_2015_13.png} Which diagram represents a chemical change in the water molecules?",8,science,Train
A,MSA_2015_8_27,the same galaxy as Earth,a different universe than Earth,a different solar system than Earth,the same asteroid belt orbiting the sun,"Uranus Uranus is a giant ice planet, much larger and farther from the sun than Earth. Uranus's axis of rotation is tilted more than 90°. {img:images/States2017/MD/MD_8thGr_2015_22.png} Uranus is part of a group of celestial objects that are in",8,science,Train
